method,owner,upstream_repo,upstream_commit,r0_status,r1_status,r2_status,r3_status,qwen_compatible,humaneval_ready,mbpp_ready,livecodebench_ready,swebench_lite_ready,artifact_complete,cross_reproduced,blocking_issue,notes
Magnitude,潘阔,https://github.com/locuslab/wanda.git,8e8fc87b4a2f9955baa7e76e64d5fce7fa8724a6,done,done,done,formal_passat1,yes,passat1,passat1,split_ready,split_ready,partial,no,,Smoke+formal: OPT nsamples=128 PPL; Qwen Mag 0.10/0.30 full HE/MBPP Pass@1 in pan_formal_comparison.csv (not R4 half splits).
Wanda,潘阔,https://github.com/locuslab/wanda.git,8e8fc87b4a2f9955baa7e76e64d5fce7fa8724a6,done,done,done,formal_passat1,yes,passat1,passat1,generation,generation,partial,no,,Smoke+formal: OPT nsamples=128; Qwen Wanda vs Dense/Mag full evalplus Pass@1 in pan_formal_comparison.csv (not R4 half splits).
SparseGPT,李长骏,https://github.com/IST-DASLab/sparsegpt.git,147d2159dc4f3e9f73e47b32c04d7b3708f44436,pending,pending,pending,pending,likely,no,no,no,no,no,no,,Representative reconstruction method.
LLM-Pruner,常珂舒,https://github.com/horseee/LLM-Pruner.git,128a07d977f9b205d60ab14cfbc6a78f8a8e39d2,done,done,pending,pending,needs_adapter,no,no,no,no,partial,yes,,Tiny LLaMA R1; pan cross-repro succeeded.
DSnoT,潘阔,https://github.com/zyxxmu/DSnoT.git,26162b71aef5c8fee7775d5a32546d7243c6cb88,done,done,unsupported_qwen,process_smoke,no,process,process,split_ready,split_ready,partial,no,Qwen adapter missing,Formal OPT nsamples=128 PPL vs Wanda; Qwen unsupported_without_adapter.
MaskLLM,李长骏,https://github.com/NVlabs/MaskLLM.git,50e50de8dc833714bb70a951d0ae37a5e79bcc7b,pending,pending,pending,pending,unknown,no,no,no,no,no,no,,Semi-structured/mask learning route.
FLAP,李长骏,https://github.com/CASIA-LMC-Lab/FLAP.git,3bb57db3449dd2fa04a5c2192de80e87e33be2b1,pending,pending,pending,pending,unknown,no,no,no,no,no,no,,Candidate representative structured method.
SliceGPT,常珂舒,https://github.com/microsoft/TransformerCompression.git,6b12cdee6ad51791d7c776b3a046bc408b9e77e9,done,done,pending,pending,needs_adapter,no,no,no,no,partial,yes,,OPT-125M R1; pan cross-repro succeeded.
LaCo,常珂舒,https://github.com/yangyifei729/LaCo.git,84835877f918dc972df1a1375e09209551e02f3d,done,blocked,blocked,pending,unknown,no,no,no,no,partial,no,Upstream notebook-only,R1 blocker documented.
OWL,潘阔,https://github.com/luuyin/OWL.git,dddb7a4bffe27c73e4c8cf692b3a5e36401532c8,done,done,unsupported_qwen,process_smoke,no,pipeline_dry_run,pipeline_dry_run,split_ready,split_ready,partial,no,Qwen adapter missing,Smoke R1 tiny-Llama only; no Qwen formal Pass@1.
Pruner-Zero,李长骏,https://github.com/pprp/Pruner-Zero.git,db70134ed7d4c521a57060fd698f353d04268429,pending,pending,pending,pending,unknown,no,no,no,no,no,no,,Automated metric/search route.
Flab-Pruner,常珂舒,https://github.com/Flab-Pruner/Flab-Pruner.git,e35e7fc4560369f993d736df1ef5429a74ca6983,done,pending,qwen3b_heavy_success,pending_eval,qwen3b_pruned,guide_pruned,no,no,no,manifest_only,no,Benchmark-scored mask selection and evaluation still pending; large safetensors kept local,Qwen3B HumanEval guide pruning succeeded.
