method,owner,method_family,primary_role,stage1_status,officiality,protocol_notes,primary_code,readme
Flab-Pruner,常珂舒,structured,width/head/ffn pruning,completed_quality_gate_fail,local_qwen_adaptation,R4 half and WSL Qwen1.5B keep80 evidence recorded; outputs collapse under review,methods/flab_pruner/qwen_prune.py,methods/flab_pruner/README.md
LLM-Pruner,常珂舒,structured,MetaPruner/layerdrop pruning,completed_quality_gate_fail,mixed_official_and_fallback,CodeLlama R4 is fallback_non_official; WSL Qwen1.5B local MetaPruner adaptation recorded,methods/llm_pruner/qwen_prune.py,methods/llm_pruner/README.md
SliceGPT,常珂舒,structured,slice hidden dimensions,partial_quality_gate_fail,local_qwen_adaptation,CodeLlama R4 partial; WSL Qwen1.5B local adapter run recorded,methods/slicegpt/qwen_prune.py,methods/slicegpt/README.md
LaCo,常珂舒,layer collapse,candidate,blocked,upstream_limited,Notebook/upstream route insufficient for Stage 1 reproducible run,,methods/laco/README.md
Magnitude,潘阔,unstructured,magnitude pruning,auxiliary_completed,pan_auxiliary,Pan full-eval aggregate only unless raw pan_formal evidence is later supplied,,methods/magnitude/README.md
Wanda,潘阔,unstructured,activation-weight pruning,auxiliary_completed,pan_auxiliary,Pan full-eval aggregate only unless raw pan_formal evidence is later supplied,methods/wanda/qwen_prune.py,methods/wanda/README.md
DSnoT,潘阔,unstructured,activation-aware pruning,auxiliary_partial,pan_auxiliary,OPT PPL aggregate recorded; Qwen adapter missing,,methods/dsnot/README.md
OWL,潘阔,unstructured,outlier-weighted pruning,auxiliary_partial,pan_auxiliary,Smoke/process evidence only; Qwen adapter missing,,methods/owl/README.md
SparseGPT,李长骏,reconstruction,sparsegpt pruning,pending,not_run,Representative reconstruction method retained as candidate,,methods/sparsegpt/README.md
MaskLLM,李长骏,mask learning,semi-structured pruning,pending,not_run,Candidate retained; no Stage 1 run evidence,,methods/maskllm/README.md
Pruner-Zero,李长骏,search,metric search pruning,pending,not_run,Candidate retained; no Stage 1 run evidence,,methods/pruner_zero/README.md
FLAP,李长骏,structured,fluctuation adaptive pruning,pending,not_run,Candidate retained; no Stage 1 run evidence,,methods/flap/README.md
