score_id,run_id,method,model,variant,benchmark,protocol,split,task_count,pass_count,pass_rate,plus_pass_count,plus_pass_rate,metric_name,metric_value,result_completeness,validity_status,evidence_status,source_file,notes
score_0035,codellama7b_4bit_r4_baseline_evalhalf_20260725_161912,baseline,codellama/CodeLlama-7b-hf,,humaneval,r4_half,eval,82,2,0.024390243902439025,,,pass_rate,0.024390243902439025,complete,valid,present,results/evidence/r4_half/codellama7b_4bit_r4_baseline_evalhalf_20260725_161912/humaneval_evalhalf/score_summary.json,
score_0036,codellama7b_4bit_r4_baseline_evalhalf_20260725_161912,baseline,codellama/CodeLlama-7b-hf,,livecodebench,r4_half,eval,200,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/codellama7b_4bit_r4_baseline_evalhalf_20260725_161912/livecodebench_evalhalf/score_summary.json,
score_0037,codellama7b_4bit_r4_baseline_evalhalf_20260725_161912,baseline,codellama/CodeLlama-7b-hf,,mbpp,r4_half,eval,224,29,0.12946428571428573,,,pass_rate,0.12946428571428573,complete,valid,present,results/evidence/r4_half/codellama7b_4bit_r4_baseline_evalhalf_20260725_161912/mbpp_evalhalf/score_summary.json,
score_0038,flab_qwen25c3b_r4_benchguided_keep80_lora_merged_20260724_195006,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,keep80,humaneval,r4_half,eval,82,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/flab_qwen25c3b_r4_benchguided_keep80_lora_merged_20260724_195006/humaneval_evalhalf/score_summary.json,
score_0039,flab_qwen25c3b_r4_benchguided_keep80_lora_merged_20260724_195006,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,keep80,livecodebench,r4_half,eval,200,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/flab_qwen25c3b_r4_benchguided_keep80_lora_merged_20260724_195006/livecodebench_evalhalf/score_summary.json,
score_0040,flab_qwen25c3b_r4_benchguided_keep80_lora_merged_20260724_195006,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,keep80,mbpp,r4_half,eval,224,4,0.017857142857142856,,,pass_rate,0.017857142857142856,complete,valid,present,results/evidence/r4_half/flab_qwen25c3b_r4_benchguided_keep80_lora_merged_20260724_195006/mbpp_evalhalf/score_summary.json,
score_0041,flab_qwen25c3b_r4_default_keep80_lora_merged_20260725_035144,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,keep80,humaneval,r4_half,eval,82,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/flab_qwen25c3b_r4_default_keep80_lora_merged_20260725_035144/humaneval_evalhalf/score_summary.json,
score_0042,flab_qwen25c3b_r4_default_keep80_lora_merged_20260725_035144,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,keep80,livecodebench,r4_half,eval,200,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/flab_qwen25c3b_r4_default_keep80_lora_merged_20260725_035144/livecodebench_evalhalf/score_summary.json,
score_0043,flab_qwen25c3b_r4_default_keep80_lora_merged_20260725_035144,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,keep80,mbpp,r4_half,eval,224,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/flab_qwen25c3b_r4_default_keep80_lora_merged_20260725_035144/mbpp_evalhalf/score_summary.json,
score_0044,flab_qwen25c3b_r4_pruned_evalhalf_20260723_204756,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,,humaneval,r4_half,eval,82,0,0.0,,,pass_rate,0.0,complete,valid,present,results/evidence/r4_half/flab_qwen25c3b_r4_pruned_evalhalf_20260723_204756/benchguided_keep80/humaneval/score_summary.json,
