method,owner,method_group,primary_model_family,primary_model_id,baseline_model_id,fallback_model_id,policy_status,reason
Flab-Pruner,常珂舒,structured_depth_width,Qwen2.5-Coder,Qwen/Qwen2.5-Coder-3B-Instruct,Qwen/Qwen2.5-Coder-1.5B-Instruct,,active_qwen_supported,Upstream includes Qwen2 modeling utilities and local Qwen3B pruning has succeeded.
SliceGPT,常珂舒,structured_depth_width,CodeLlama,codellama/CodeLlama-7b-hf,codellama/CodeLlama-7b-hf,facebook/opt-125m,active_codellama_preferred,Official adapters include LLaMA/OPT/Phi but no Qwen2 adapter.
LLM-Pruner,常珂舒,structured_depth_width,CodeLlama,codellama/CodeLlama-7b-hf,codellama/CodeLlama-7b-hf,trl-internal-testing/tiny-random-LlamaForCausalLM,active_codellama_preferred,Official hf_prune path is LLaMA-bound.
LaCo,常珂舒,structured_depth_width,Skipped,,,LLaMA2/Baichuan2 notebook,skipped_limited_official_support_no_codellama,Official support is too limited for the active policy; upstream provides notebooks for LLaMA2/Baichuan2 and no CodeLlama route.
Magnitude,潘阔,activation_mask_allocation,CodeLlama,codellama/CodeLlama-7b-hf,codellama/CodeLlama-7b-hf,facebook/opt-125m,codellama_if_local_path_supports_llama,Use CodeLlama when the Wanda/Magnitude LLaMA path is confirmed; otherwise keep OPT smoke.
Wanda,潘阔,activation_mask_allocation,CodeLlama,codellama/CodeLlama-7b-hf,codellama/CodeLlama-7b-hf,facebook/opt-125m,codellama_if_local_path_supports_llama,Use CodeLlama when the local LLaMA path is confirmed; otherwise keep OPT smoke.
DSnoT,潘阔,activation_mask_allocation,CodeLlama,codellama/CodeLlama-7b-hf,codellama/CodeLlama-7b-hf,method-supported model,codellama_if_supported,Use CodeLlama for LLaMA-compatible route; otherwise use official supported model.
OWL,潘阔,activation_mask_allocation,CodeLlama,codellama/CodeLlama-7b-hf,codellama/CodeLlama-7b-hf,method-supported model,codellama_if_supported,Use CodeLlama for LLaMA-compatible route; otherwise use official supported model.
SparseGPT,李长骏,reconstruction,CodeLlama,codellama/CodeLlama-7b-hf,codellama/CodeLlama-7b-hf,facebook/opt-125m,codellama_if_local_path_supports_llama,Use CodeLlama when the LLaMA path is practical; otherwise keep OPT smoke.
MaskLLM,李长骏,reconstruction,CodeLlama,codellama/CodeLlama-7b-hf,codellama/CodeLlama-7b-hf,method-supported model,codellama_if_supported,Use CodeLlama for LLaMA-compatible route; otherwise use official supported model.
Pruner-Zero,李长骏,reconstruction,CodeLlama,codellama/CodeLlama-7b-hf,codellama/CodeLlama-7b-hf,facebook/opt-125m,codellama_if_supported,Use CodeLlama if upstream LLaMA route is usable; otherwise retain OPT official path.
FLAP,李长骏,reconstruction,CodeLlama,codellama/CodeLlama-7b-hf,codellama/CodeLlama-7b-hf,,active_codellama_preferred,Existing plan already has a LLaMA-style template.
