round,method,owner,model_family,model_id,status,evidence,notes
R0,environment,shared,mixed,mixed,done,results/raw/env_check_20260718_173242,Common environment and CUDA visibility checked.
R0,benchmark_splits,潘阔,mixed,mixed,done,results/raw/create_humaneval_mbpp_smoke_splits_20260718_184456,HumanEval and MBPP smoke splits created.
R0,benchmark_splits,潘阔,mixed,mixed,done,results/raw/create_lcb_swebench_smoke_splits_20260718_190255,LiveCodeBench and SWE-bench Lite smoke splits created.
R0,CodeLlama,shared,CodeLlama,codellama/CodeLlama-7b-hf,done,results/raw/codellama7b_config_probe_20260722_184306,Config probe complete.
R0,Qwen2.5-Coder,shared,Qwen2.5-Coder,Qwen/Qwen2.5-Coder-3B-Instruct,done,results/raw/qwen25_coder_3b_config_probe_20260718_182954,Config probe complete.
R1,SliceGPT,常珂舒,OPT,facebook/opt-125m,done,results/raw/slicegpt_opt125m_smoke_20260718_173646,Official OPT-125M smoke complete.
R1,LLM-Pruner,常珂舒,Tiny LLaMA,trl-internal-testing/tiny-random-LlamaForCausalLM,done,results/raw/llmpruner_tiny_llama_layerwise_smoke_20260718_175708,Tiny LLaMA layer-wise smoke complete.
R1,LaCo,常珂舒,skipped,,blocked,docs/methods.md,Official support too limited; no CodeLlama route.
R1,Flab-Pruner,常珂舒,Qwen2.5-Coder,Qwen/Qwen2.5-Coder-3B-Instruct,done,results/raw/flab_pruner_import_probe_20260718_184023,Qwen utilities import probe complete.
R2,Flab-Pruner,常珂舒,Qwen2.5-Coder,Qwen/Qwen2.5-Coder-3B-Instruct,done,results/raw/flab_qwen3b_humaneval_prune_heavy_20260718_204006,Qwen3B HumanEval-guide pruning complete; model weights local only.
R2,LLM-Pruner,常珂舒,CodeLlama,codellama/CodeLlama-7b-hf,done,results/raw/llmpruner_codellama7b_layerwise_cpu_smoke_20260722_222955,One-layer CodeLlama pruning complete.
R2,SliceGPT,常珂舒,CodeLlama,codellama/CodeLlama-7b-hf,done,results/raw/slicegpt_codellama7b_min_prune_smoke_20260722_235632,CodeLlama rotate-and-slice complete.
R2,LaCo,常珂舒,skipped,,skipped,docs/methods.md,Skipped.
R3,Qwen-1.5B baseline,常珂舒,Qwen2.5-Coder,Qwen/Qwen2.5-Coder-1.5B-Instruct,done,results/raw/qwen15b_humaneval_smoke_eval_20260721_180903;results/raw/qwen15b_mbpp_smoke_eval_20260721_184715,HumanEval 0/4; MBPP 1/4.
R3,Qwen-3B baseline,常珂舒,Qwen2.5-Coder,Qwen/Qwen2.5-Coder-3B-Instruct,done,results/raw/qwen3b_humaneval_smoke_eval_20260721_181657;results/raw/qwen3b_mbpp_smoke_eval_20260721_184936,HumanEval 0/4; MBPP 2/4.
R3,Flab-Pruner,常珂舒,Qwen2.5-Coder,Qwen/Qwen2.5-Coder-3B-Instruct,done,results/raw/flab_qwen3b_pruned_humaneval_smoke_eval_20260721_182050;results/raw/flab_qwen3b_pruned_mbpp_smoke_eval_20260721_185132,HumanEval 0/4; MBPP 0/4.
R3,LLM-Pruner,常珂舒,CodeLlama,codellama/CodeLlama-7b-hf,done,results/raw/llmpruner_codellama7b_humaneval_4task_offload_smoke_20260722_232800;results/raw/llmpruner_codellama7b_mbpp_4task_offload_smoke_20260722_233633,HumanEval 0/4; MBPP 1/4.
R3,SliceGPT,常珂舒,CodeLlama,codellama/CodeLlama-7b-hf,done,results/raw/slicegpt_codellama7b_r3_humaneval_mbpp_4task_20260723_021439,HumanEval 0/4; MBPP 0/4.
R4,Flab-Pruner,常珂舒,Qwen2.5-Coder,Qwen/Qwen2.5-Coder-3B-Instruct,pending,,Half-set formal run pending.
R4,LLM-Pruner,常珂舒,CodeLlama,codellama/CodeLlama-7b-hf,pending,,Half-set formal run pending.
R4,SliceGPT,常珂舒,CodeLlama,codellama/CodeLlama-7b-hf,pending,,Half-set formal run pending.
R1-R4,Magnitude,潘阔,CodeLlama,codellama/CodeLlama-7b-hf,pending,,No owner run yet.
R1-R4,Wanda,潘阔,CodeLlama,codellama/CodeLlama-7b-hf,pending,,No owner run yet.
R1-R4,DSnoT,潘阔,CodeLlama,codellama/CodeLlama-7b-hf,pending,,No owner run yet.
R1-R4,OWL,潘阔,CodeLlama,codellama/CodeLlama-7b-hf,pending,,No owner run yet.
R1-R4,SparseGPT,李长骏,CodeLlama,codellama/CodeLlama-7b-hf,pending,,No owner run yet.
R1-R4,MaskLLM,李长骏,CodeLlama,codellama/CodeLlama-7b-hf,pending,,No owner run yet.
R1-R4,Pruner-Zero,李长骏,CodeLlama,codellama/CodeLlama-7b-hf,pending,,No owner run yet.
R1-R4,FLAP,李长骏,CodeLlama,codellama/CodeLlama-7b-hf,pending,,No owner run yet.
