method,owner,family,primary_model,upstream_status,adapter_status,smoke_status,r4_status,recovery_status,execution_status,validity_status,quality_gate,officiality,evidence_status,primary_code,readme,notes
Flab-Pruner,常珂舒,structured,Qwen2.5-Coder,vendored_submodule,qwen_adapter,completed,completed,completed,completed,under_review,fail,experimental_extension,complete,methods/flab_pruner/qwen_prune.py,methods/flab_pruner/README.md,Official structural mode and benchmark activation experimental mode are separated.
LLM-Pruner,常珂舒,structured,Qwen2.5-Coder / CodeLlama,vendored_submodule,qwen_adapter,completed,completed,completed,completed,under_review,fail,local_official_adapter,complete,methods/llm_pruner/qwen_prune.py,methods/llm_pruner/README.md,Local adapter evidence is complete; CodeLlama route is fallback.
SliceGPT,常珂舒,structured,Qwen2.5-Coder / CodeLlama,vendored_submodule,qwen_adapter,completed,completed,completed,completed,under_review,fail,local_official_adapter,complete,methods/slicegpt/qwen_prune.py,methods/slicegpt/README.md,Partial benchmark evidence keeps actual task counts.
LaCo,常珂舒,layer collapse,CodeLlama candidate,vendored_submodule,core_smoke,completed,blocked,not_applicable,partial,diagnostic_only,not_applicable,not_run,partial,,methods/laco/README.md,Tiny LLaMA-compatible core smoke executed; formal CodeLlama R4 remains not run.
Magnitude,潘阔,unstructured,Qwen2.5-Coder / OPT,vendored_submodule,ready,completed,partial,not_applicable,partial,valid,pass,auxiliary_protocol,partial,,methods/magnitude/README.md,Auxiliary full evaluation is aggregate only and not directly comparable with r4_half.
Wanda,潘阔,unstructured,Qwen2.5-Coder / OPT,vendored_submodule,ready,completed,partial,not_applicable,partial,valid,pass,auxiliary_protocol,partial,methods/wanda/qwen_prune.py,methods/wanda/README.md,Auxiliary full evaluation is aggregate only and not directly comparable with r4_half.
DSnoT,潘阔,unstructured,OPT,vendored_submodule,blocked_qwen,completed,not_applicable,not_applicable,blocked,diagnostic_only,not_applicable,auxiliary_protocol,diagnostic_only,,methods/dsnot/README.md,OPT PPL aggregate is recorded; Qwen adapter remains unsupported.
OWL,潘阔,unstructured,OPT,vendored_submodule,blocked_qwen,completed,not_applicable,not_applicable,blocked,diagnostic_only,not_applicable,auxiliary_protocol,diagnostic_only,,methods/owl/README.md,Process evidence is recorded; Qwen adapter remains unsupported.
SparseGPT,李长骏,reconstruction,OPT / CodeLlama candidate,vendored_submodule,planned,planned,planned,not_applicable,blocked,not_applicable,pending,not_run,diagnostic_only,,methods/sparsegpt/README.md,Candidate retained for the first-stage method scope.
MaskLLM,李长骏,mask learning,candidate,vendored_submodule,planned,planned,planned,not_applicable,blocked,not_applicable,pending,not_run,diagnostic_only,,methods/maskllm/README.md,Candidate retained without first-stage run evidence.
Pruner-Zero,李长骏,search,candidate,vendored_submodule,planned,planned,planned,not_applicable,blocked,not_applicable,pending,not_run,diagnostic_only,,methods/pruner_zero/README.md,Candidate retained without first-stage run evidence.
FLAP,李长骏,structured,candidate,vendored_submodule,planned,planned,planned,not_applicable,blocked,not_applicable,pending,not_run,diagnostic_only,,methods/flap/README.md,Candidate retained without first-stage run evidence.
